Clean ruling set — the audit framed the options well. My verdicts, verbatim for the bot:

| # | Ruling | Reasoning |
|---|---|---|
| **R1** | **(c) — `agent_confirmed` flag promotes agent value above Engine A; below explicit user override.** Reject (a) and (b). | (a) making agent writes operator-permanent is too strong — the agent is a considered *input*, not a locked decision; the user must still override without "clearing" anything. (b) teaching Engine A to skip is a silent-conditional-behavior pattern this program has been burned by. (c) is explicit: a flagged agent value ranks above engine defaults, under user. This is the keystone that fixes the live "builds silently overwrite agent values" defect. |
| **R2** | **(a) — real `reasoning TEXT` + `evidence_refs JSONB` columns. Migration required, worth it.** | (b) is lossy and (c)'s FK-to-`agent_run_steps` makes provenance ephemeral (steps get pruned; the audit trail for a written value can't live in a transient table). The full provenance contract was a founding invariant — pay the migration. |
| **R3** | **(b) — reuse `deal_financial_models.assumptions_hash`, stored per overlay row written during that run.** | Lowest-cost, reuses existing machinery, and build-level granularity is sufficient — the hash answers "what data snapshot did this write see," which is a per-run fact, not per-field. |
| **R4** | **(a) — `confidence='low'` + note, surfaced in the F9 assumption audit trail.** | Zero-migration, reuses the LOW_CONFIDENCE display surface already in the engine, and puts the escalation exactly where a reviewer looks. Escalate-don't-reject, landed. |
| **R5** | **(a) preferred, but sequence-aware: reconciliation lives in F-P1t's tax-engine acceptance — and if F-P1t hasn't landed when D3 Phase 2 reaches this item, ship (b) the standalone Inngest cron as the interim, migrating into (a) when F-P1t lands.** | (a) is the right home (reconciliation belongs with the tax engine), but it's F-P1t-gated; (b) as a *bridge* avoids blocking D3 on F-P1t while not orphaning the check. Not either/or — (a) is the destination, (b) is the on-ramp if timing demands. |
| **R6** | **(c) — agent flags the field via overlay seam (`real_estate_tax.broker_flag`-style), never touches `deal_data` directly.** | Keeps every agent write inside the provenance'd overlay path — the whole point of D3. (a) bypasses provenance (the thing we're building), (b) is a bigger migration than the flag warrants. (c) is lowest-friction and architecturally pure. |
| **R7** | **(a) — replace `update_assumption` in-place with the overlay-routing version.** | The audit's own recommendation, and correct: two write paths (b) *will* diverge (this program has that scar), and CU's registry merge needs exactly one write-action skill. Kill the raw write, keep the name and signature. |
| **R8** | **F5-gated items: any Phase 2 work that writes `evidence_refs` pointing at `inPlaceNOI`-class evidence, OR that reconciles against effective-assumptions.** The resolution-order fix (R1), the `update_assumption` reroute (R7), the schema migration (R2/R4), and `broker_claims` flagging (R6) are **NOT** F5-gated — they can go first. Sequence the evidence-*citing* items behind F5's Finding-V fix. | A ref pointing at a duplicated/missing evidence row has no referential integrity — R2's `evidence_refs` integrity requirement literally can't be satisfied for `inPlaceNOI` until F5 dedupes it. But the seam's *structure* doesn't depend on F5, so most of Phase 2 proceeds. |

**Phase 2 sequence that falls out of these:** the non-F5-gated structural work first — R1 resolution-order fix (the live-defect keystone) → R7 in-place reroute → R2/R4 schema migration → R6 broker-flag → R3 hash-stamping. Then the F5-gated evidence-citing items land behind F5. R5 takes its (a)-or-(b) branch based on F-P1t's state at that point.

Confirm the table (or amend any line) and I'll cut the D3 Phase 2 GO with this sequence encoded and the F5/F-P1t gates fenced.
